"Speaker Name","Start Time","End Time","Text"
"Unknown","00:00:00:00","00:00:28:12","We'll just copy over that. Okay. All right. Okay. Hi. My name is Morgan Santa. I am the director for the Center for Cybersecurity Innovation at City University of Seattle. We are. And the National Center of Academic Excellence recognized by the NSA. I'm also the program manager for the Bachelor's and master's degree in cybersecurity."
"Unknown","00:00:28:12","00:01:01:21","Penny. Okay. This is the second year of our NASA funded cybersecurity high school innovation grant. The purpose of this grant is to create more teachers trained to instruct cybersecurity at the high school level. So in year two, we've made some very interesting changes from lessons learned through our teachers, who are in seven different states teaching across the spectrum from high school."
"Unknown","00:01:01:21","00:01:32:09","We actually have a couple of teachers that were teaching high school last year and are now teaching middle school and high school will include some of these lessons learned through interviews that you hear from them. And we hope to be producing some additional videos, PowerPoints and publishing some papers to help you wherever you are in the country to develop more cybersecurity, high school and middle school teachers."
"Unknown","00:01:32:09","00:02:08:18","Right. Oh, really? Can you briefly tell me about yourself? Certainly. I've been a teacher for a long time. I'm retired college instructor from Mount Hood Community College and taught there for 19 years full time and part time. 13 years. Started this cybersecurity program good 15 years ago at Mount Hood. And it's been built up and running quite successfully."
"Unknown","00:02:08:18","00:02:41:11","And even though I'm retired, I still am teaching classes for the cybersecurity degree. And what made you get involved in this grant? Oh, basically, I was kind of tagged by a colleague who couldn't fulfill the obligation when he was asked to do it, and after a couple of weeks realize he's overloaded. And the answer to all your retired, why don't you take on this grant?"
"Unknown","00:02:41:11","00:03:17:07","So I became part of the grant and part of the teaching support in it. Okay. So you motivate your students to learn about cybersecurity. For for my area being in the college community, college, it's not too tough. They they want and the nice thing about our our school is that we have kind of a go with the veterans."
"Unknown","00:03:17:11","00:03:41:21","So we have a lot of vets, both men and women in our program at the College as far as the high school and getting down into the high school, the students are recognizing and it's becoming more and more obvious that there is a great need in in the market for people with some kind of cybersecurity background and training."
"Unknown","00:03:41:23","00:03:59:23","So we have good training program. You know, I'm pushing my school, obviously, but they they do a really good job in the different degrees that we have."
"Unknown","00:04:00:01","00:04:41:07","What impact have you made for this child? Grant I don't know that, you know, I become an ambassador for the National Cyber League, which is a competition group, and really trying to push that and showing the high school instructors that this is really a positive way to go and the excitement they can generate after school and with the students in being a part of this competition, the games that cyber and it's twice a year so it works out quite nicely and even at the lowest level."
"Unknown","00:04:41:07","00:05:11:00","Student As far as cyber not knowing too much they they come out excited and saying, I want to do this again. I have students at the college level that after they graduate, are still participating in the national security. And so that's one of the areas that I, I really feel like I'm I'm in here for supporting that and the different competitions that go around."
"Unknown","00:05:11:00","00:05:57:01","I don't have a lot of the programing and expertise and things like that. I made mainly a networking guy, so networking and and cyber competitions are what what I'm about. Yeah, and one less thing. What are your three takeaways for the year from this year? Well, it's it's nice to have one the second year group that we can take to a different level and get them excited about becoming more of an expert in teaching by giving them more resources in in teaching and being able to once again in the second year work with my colleagues."
